website,type,2nd type,3rd type,Source Notes (things to know?)
usatodaynews.me,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usatwentyfour.com,fake,,,
usconservativetoday.com,fake,,,
usfanzone.com,fake,bias,,
ushealthyadvisor.com,fake,conspiracy,junksci,
ushealthylife.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usinfonews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
uspoliticslive.com,fake,bias,conspiracy,
uspoln.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
uspostman.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
vigilantcitizen.com,fake,conspiracy,,
viralactions.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
viralliberty.com,fake,bias,clickbait,
voxtribune.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
washingtonfed.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
washingtonpost.com.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
webdaily.com,fake,conspiracy,bias,
weeklyworldnews.com,fake,rumor,clickbait,pretty well known tabloid/fake news source
worldpoliticsus.com,fake,,,website down
worldrumor.com,fake,,,no longer being updated?
worldstoriestoday.com,fake,,,no longer being updated?
wtoe5news.com,fake,satire,,https://web.archive.org/web/20161115024211/http://wtoe5news.com/us-election/pope-francis-shocks-world-endorses-donald-trump-for-president-releases-statement/
yesimright.com,fake,bias,,
yourfunpage.com,fake,,,mostly links to rando YT videos
FarmWars.info,fake,conspiracy,,"Much of the site is focused on anti-GMO conspiracies, with political conspiracies coming in as a close second. There are some apparent attempts to source some wild claims, but the use of unstable URLs-- intentionally or otherwise-- thwarts this."
worldpoliticsnow.com,fake ,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
